0.1,0.9
0.35,1.0
0.75,1.0
1.0,1.0
0.95,1.0
0.8,1.0
0.8,1.0
0.95,1.0
1.0,1.0
0.8,1.0
0.9,1.0
0.5,0.5
0.0,0.15
1.0,1.0
0.05,1.0
1.0,1.0
0.55,1.0
0.9,1.0
0.1,1.0
0.8,1.0
0.0,0.1
1.0,1.0
0.05,0.95
0.55,1.0
0.35,0.5
1.0,1.0
0.75,1.0
1.0,1.0
0.15,0.85
0.7,1.0
0.75,1.0
0.65,0.65
0.2,1.0
0.85,1.0
0.5,0.9
0.85,0.9
0.9,1.0
0.15,0.25
0.9,0.9
0.75,0.75
1.0,1.0
1.0,1.0
0.9,1.0
0.85,1.0
0.2,0.95
1.0,1.0
0.7,1.0
0.5,0.7
0.85,0.85
1.0,1.0
0.15,1.0
0.45,0.95
1.0,1.0
0.65,1.0
1.0,1.0
0.8,1.0
0.35,1.0
1.0,1.0
1.0,1.0
0.9,1.0
1.0,1.0
0.05,0.75
0.65,0.95
1.0,1.0
0.25,0.8
0.95,1.0
0.75,0.95
0.0,0.0
1.0,1.0
0.75,1.0
0.85,1.0
1.0,1.0
0.95,1.0
0.8,1.0
0.15,1.0
0.95,1.0
0.2,0.95
1.0,1.0
0.95,1.0
0.9,1.0
0.9,1.0
1.0,1.0
0.0,0.1
0.8,1.0
0.7,0.7
0.3,0.55
0.4,0.9
0.95,1.0
0.7,0.7
0.6,0.85
0.1,0.55
0.95,1.0
0.55,1.0
0.95,0.95
1.0,1.0
1.0,1.0
0.5,0.9
0.3,1.0
0.45,0.9
0.15,0.85
0.75,1.0
0.9,1.0
0.9,1.0
0.6,0.6
0.7,0.95
0.75,1.0
1.0,1.0
1.0,1.0
0.85,1.0
0.4,1.0
0.65,0.9
0.7,1.0
0.6,1.0
0.95,1.0
0.6,0.9
0.1,0.4
1.0,1.0
0.9,1.0
0.75,0.85
0.1,1.0
0.55,0.85
0.05,0.05
0.75,0.75
0.85,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.95,0.95
0.1,0.6
0.75,1.0
1.0,1.0
0.1,0.25
1.0,1.0
0.7,1.0
0.1,0.95
0.0,0.05
1.0,1.0
0.8,1.0
0.15,1.0
1.0,1.0
0.9,0.9
0.35,0.95
0.95,1.0
1.0,1.0
0.65,0.95
0.5,0.5
0.9,1.0
0.8,0.9
0.95,1.0
0.95,0.95
0.95,1.0
0.5,0.75
1.0,1.0
0.9,1.0
0.75,1.0
0.8,1.0
0.0,0.1
1.0,1.0
0.5,1.0
0.8,0.95
0.05,0.95
0.1,0.65
0.0,0.85
0.15,0.5
0.95,1.0
0.5,0.9
0.6,1.0
0.75,1.0
1.0,1.0
0.95,1.0
0.7,1.0
0.1,1.0
0.95,1.0
0.95,1.0
0.95,1.0
0.9,1.0
1.0,1.0
0.8,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9,1.0
1.0,1.0
1.0,1.0
0.2,0.2
0.9,1.0
1.0,1.0
0.75,1.0
0.8,1.0
0.7,0.95
0.15,1.0
1.0,1.0
1.0,1.0
0.05,0.95
0.55,0.75
0.95,1.0
0.75,0.85
1.0,1.0
0.2,0.55
0.85,0.95
