id_num,base,best,gap
0,1.0,1.0,0.0
1,0.2,0.8,0.6000000000000001
2,0.9,1.0,0.09999999999999998
3,0.95,1.0,0.050000000000000044
4,0.65,1.0,0.35
5,0.7,1.0,0.30000000000000004
6,0.95,1.0,0.050000000000000044
7,0.75,0.9,0.15000000000000002
8,0.0,1.0,1.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.2,0.4,0.2
12,1.0,1.0,0.0
13,0.45,1.0,0.55
14,0.0,0.05,0.05
15,0.0,0.4,0.4
16,0.55,0.8,0.25
17,0.7,0.7,0.0
18,0.4,0.4,0.0
19,0.5,0.95,0.44999999999999996
20,0.95,1.0,0.050000000000000044
21,0.9,1.0,0.09999999999999998
22,0.5,0.6,0.09999999999999998
23,0.8,1.0,0.19999999999999996
24,0.85,1.0,0.15000000000000002
25,1.0,1.0,0.0
26,0.95,1.0,0.050000000000000044
27,0.4,0.75,0.35
28,1.0,1.0,0.0
29,0.75,0.9,0.15000000000000002
30,0.95,1.0,0.050000000000000044
31,1.0,1.0,0.0
32,0.1,1.0,0.9
33,0.55,0.95,0.3999999999999999
34,1.0,1.0,0.0
35,0.9,1.0,0.09999999999999998
36,1.0,1.0,0.0
37,0.95,1.0,0.050000000000000044
38,0.5,0.5,0.0
39,1.0,1.0,0.0
40,0.5,0.9,0.4
41,1.0,1.0,0.0
42,0.9,0.95,0.04999999999999993
43,0.65,0.7,0.04999999999999993
44,1.0,1.0,0.0
45,1.0,1.0,0.0
46,0.8,1.0,0.19999999999999996
47,1.0,1.0,0.0
48,1.0,1.0,0.0
49,1.0,1.0,0.0
50,0.05,0.05,0.0
51,1.0,1.0,0.0
52,0.7,0.95,0.25
53,0.95,1.0,0.050000000000000044
54,0.95,1.0,0.050000000000000044
55,1.0,1.0,0.0
56,0.95,1.0,0.050000000000000044
57,0.5,0.65,0.15000000000000002
58,1.0,1.0,0.0
59,0.75,1.0,0.25
60,0.55,0.95,0.3999999999999999
61,0.45,1.0,0.55
62,1.0,1.0,0.0
63,0.0,0.0,0.0
64,0.9,1.0,0.09999999999999998
65,1.0,1.0,0.0
66,0.8,1.0,0.19999999999999996
67,0.1,0.85,0.75
68,0.75,0.85,0.09999999999999998
69,0.95,1.0,0.050000000000000044
70,1.0,1.0,0.0
71,1.0,1.0,0.0
72,0.65,0.95,0.29999999999999993
73,0.95,1.0,0.050000000000000044
74,0.85,1.0,0.15000000000000002
75,1.0,1.0,0.0
76,0.9,1.0,0.09999999999999998
77,0.9,1.0,0.09999999999999998
78,0.6,1.0,0.4
79,0.9,1.0,0.09999999999999998
80,0.85,1.0,0.15000000000000002
81,1.0,1.0,0.0
82,0.85,1.0,0.15000000000000002
83,0.95,1.0,0.050000000000000044
84,0.55,1.0,0.44999999999999996
85,0.55,1.0,0.44999999999999996
86,1.0,1.0,0.0
87,0.8,0.9,0.09999999999999998
88,0.85,1.0,0.15000000000000002
89,0.8,1.0,0.19999999999999996
90,0.75,1.0,0.25
91,1.0,1.0,0.0
92,0.95,1.0,0.050000000000000044
93,0.95,1.0,0.050000000000000044
94,0.35,0.35,0.0
95,0.35,0.65,0.30000000000000004
96,1.0,1.0,0.0
97,0.2,0.2,0.0
98,0.3,0.9,0.6000000000000001
99,0.15,0.65,0.5
100,1.0,1.0,0.0
101,0.85,1.0,0.15000000000000002
102,1.0,1.0,0.0
103,0.35,0.6,0.25
104,0.85,1.0,0.15000000000000002
105,0.9,1.0,0.09999999999999998
106,0.95,1.0,0.050000000000000044
107,0.55,1.0,0.44999999999999996
108,0.3,0.8,0.5
109,0.95,1.0,0.050000000000000044
110,1.0,1.0,0.0
111,1.0,1.0,0.0
112,1.0,1.0,0.0
113,0.65,0.85,0.19999999999999996
114,0.95,1.0,0.050000000000000044
115,0.8,1.0,0.19999999999999996
116,0.2,0.65,0.45
117,0.25,0.75,0.5
118,0.1,0.8,0.7000000000000001
119,1.0,1.0,0.0
120,0.85,1.0,0.15000000000000002
200,0.1,0.9,0.8
201,0.35,1.0,0.65
202,0.75,1.0,0.25
203,1.0,1.0,0.0
204,0.95,1.0,0.050000000000000044
205,0.8,1.0,0.19999999999999996
206,0.8,1.0,0.19999999999999996
207,0.95,1.0,0.050000000000000044
208,1.0,1.0,0.0
209,0.8,1.0,0.19999999999999996
210,0.9,1.0,0.09999999999999998
211,0.5,0.5,0.0
212,0.0,0.15,0.15
213,1.0,1.0,0.0
214,0.05,1.0,0.95
